id_firma,domeniu,emailuri,pagini_ok,nota
2,inmaacro.com,alin.padurean@inmaacro.com;andrei.cornea@inmaacro.com;andrei.vancea@inmaacro.com;bogdan.giurconiu@inmaacro.com;bulgaria@inmaacro.com;catinca.fatan@inmaacro.com;christian.calin@inmaacro.com;cosmin.chiron@inmaacro.com;cristian.moise@inmaacro.com;dan.popescu@inmaacro.com;daniel.musat@inmaacro.com;dimitar.ivanov@inmaacro.com;florin.chepetean@inmaacro.com;horia.dumitru@inmaacro.com;info@inmaacro.com;ioan.taropa@inmaacro.com;marcela.rijnoveanu@inmaacro.com;marius.costea@inmaacro.com;mihail.toflea@inmaacro.com;oana.diaconescu@inmaacro.com;petar.petrov@inmaacro.com;roxana.calin@inmaacro.com;silviu.boeriu@inmaacro.com,3,
4,nexxon.ro,,7,
5,nicolauscom.ro,%20office@nicolauscom.ro;office@nicolauscom.ro,2,
6,bilstein.ro,recrutare@bilstein.ro,4,
200,ahi-carrier.ro,,7,
207,alphamedical.ro,office@alphamedical.ro,2,
216,astronchemicals.ro,,0,robots inaccesibil
221,hertz.ro,,1,
229,tcromglass.ro,,0,robots inaccesibil
230,bestfoods-ltd.com,,7,
242,bsbfashion.ro,,1,
246,cmdeltaapparel.ro,,1,
258,cosmosmobile.ro,,1,
267,deloitte.com,,0,
268,deloittece.com,,0,robots inaccesibil
269,diamedix.ro,,0,
270,egnatia-rom.com,,0,robots inaccesibil
271,genco.ro,,0,robots inaccesibil
278,hotelcon.net,,0,
286,imedica.ro,%20office@imedica.ro;office@imedica.ro,4,
293,interstar.ro,%20infoclient@interstar.ro;infoclient@interstar.ro,4,
294,intrarom.ro,,0,robots inaccesibil
304,jumbo.gr,,0,
344,yamaha-motor.ro,,1,
345,ndmedhealth.ro,bd@ndmedhealth.ro;info@ndmedhealth.ro,5,
398,enel.com,,1,
399,enel.com,,1,
400,enel.com,,1,
401,enel.com,,1,
419,profilco-romania.ro,,0,robots inaccesibil
452,e-distributie.com,,0,
482,teleperformance.ro,,7,
490,sante.ro,contact@sante.ro,4,
492,sarantisgroup.com,group-info@sarantisgroup.com,2,
505,sephora.ro,,0,
509,siderom.vionet.gr,,0,robots inaccesibil
530,sofmedica.com,info.bg@sofmedica.com;info.cy@sofmedica.com;info.gr@sofmedica.com;info.hr@sofmedica.com;info.hu@sofmedica.com;info.ro@sofmedica.com;info.si@sofmedica.com;info.uz@sofmedica.com,1,
549,gotravel.ro,office@gotravel.ro;vacante@gotravel.ro,1,
553,synotech.com,info@synotech.com,1,
567,telekom.ro,,7,
569,tema-energy.ro,office@tema-energy.ro,5,
620,vectra.ro,%20%20cristian.grozavu@vectra.ro;%20%20daniel.popescu@vectra.ro;%20%20elena.enache@vectra.ro;%20cezar.margina@vectra.ro;%20ioana@vectra.ro;%20iorgos@vectra.ro;%20robert@vectra.ro;%20rsvti@vectra.ro;%20service@vectra.ro;alexandra@vectra.ro;andrei.nita@vectra.ro;catalin.stoica@vectra.ro;cezar.ionescu@vectra.ro;cezar.margina@vectra.ro;ciprian.popescu@vectra.ro;cristian.grozavu@vectra.ro;daniel.dumitru@vectra.ro;daniel.popescu@vectra.ro;elena.enache@vectra.ro;florin.tufa@vectra.ro;gabriel.linta@vectra.ro;george.badescu@vectra.ro;horatiu.badescu@vectra.ro;horia@vectra.ro;ioana@vectra.ro;iorgos@vectra.ro;liliana.dimofte@vectra.ro;marilena.rotaru@vectra.ro;mihaela.cercelaru@vectra.ro;office@vectra.ro;paul.huzum@vectra.ro;robert@vectra.ro;rsvti@vectra.ro;service@vectra.ro,1,
639,eurofit.ro,,3,
653,valvis-holding.com,,0,robots inaccesibil
733,dablerom.com,,7,
894,planeamtagro.ro,,0,robots inaccesibil
895,planeamtagro.ro,,0,robots inaccesibil
943,rocasdecor.ro,comenzibn@rocasdecor.ro;facturi.furnizori@rocasdecor.ro;horea@rocasdecor.ro;hr@rocasdecor.ro;ioannis@rocasdecor.ro;logistica@rocasdecor.ro;office@rocasdecor.ro,2,
1052,blackseasuppliers.ro,,0,robots inaccesibil
1054,gdlgroup.eu,info@gdlgroup.eu,3,
1055,medtainer.ro,,1,
1056,e-distributie.com,,0,
1057,hellenicdairies.com,,1,
1058,karvelas.ro,,3,
1059,panelland.eu,contabilitate@panelland.eu;g.manager@panelland.eu;office@panelland.eu;tamas.nagy@panelland.eu;tehnic@panelland.eu;vanzari@panelland.eu,3,
1119,muehlhan.ro,,0,
1299,alinda.ro,alindaro@alinda.ro,2,
1300,analkoaluminium.ro,office@analkoaluminium.ro;suport@analkoaluminium.ro,3,
1301,druckfarbengroup.com,,2,
1302,elton-group.com,info.belgrade@elton-group.com;info.bucharest@elton-group.com;info.istanbul@elton-group.com;info.kiev@elton-group.com;info.sofia@elton-group.com;info@elton-group.com,2,
1303,fatrom.ro,,0,robots inaccesibil
1304,flexikom.ro,office@flexikom.ro,2,
1305,isomat.ro,info@isomat.ro,2,
1306,kallas.ro,,0,robots inaccesibil
1307,karamolegos-bkr.ro,,1,
1309,promidea.eu,,0,robots inaccesibil
1310,pyramis.ro,,0,robots inaccesibil
1311,rohel.ro,office@rohel.ro,7,
1312,romcolor.ro,info@romcolor.ro;office@romcolor.ro;unsubscribe@romcolor.ro,2,
1313,sidma-ro.vionet.gr,,0,robots inaccesibil
1314,skrekis.ro,info@skrekis.ro;office@skrekis.ro;vanzari@skrekis.ro,4,
1316,naturlich.ro,,1,
1317,3el.ro,,1,
1318,aatransporturi.com,,4,
1319,actrading.ro,,1,
1321,aages.ro,office@aages.ro,2,
1322,abraziv.ro,,1,
1325,theacidmedia.net,,0,robots inaccesibil
1327,acoperisulpotrivit.ro,office@acoperisulpotrivit.ro,3,
1328,lotuslife.ro,office@lotuslife.ro,4,
1329,actconstructb.ro,,0,robots inaccesibil
1330,adamsvision.ro,,1,
1335,adial.ro,service@adial.ro,1,
1336,adianacom.ro,office@adianacom.ro,4,
1337,adimag.ro,shop@adimag.ro,1,
